KOVAL 8-DRAWER CHEST OF DRAWERS WHITE,166505B  |  3560238653791,"€220.50
HT",In stock,https://images.easyrea.com/images/produits/166505B/166505B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '1', 'Assortment details': 'BOIS', 'Product dimensions': 'L. 76,5 x P. 35 x H. 107,5 cm', 'Packing dimensions': 'Profondeur tiroirs : 33 cm Poignée : 2 cm', 'Product Weight': '52.530 Kg', 'Material': 'MANGUIER', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '4.20 TTC', 'Gencod': '3560238653791'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 3', 'Packing dimensions': '81.00 x 42.00 x 100.50 cm', 'Packing details dimensions': 'L.81.00 x l.42.00 x H.100.50 cm', 'Packing weight': '59.00 kg', 'Volume': '0.3419 m3'}","Description
Empilable : /
Pliable : /","['https://images.easyrea.com/images/produits/166505B/166505B_0.jpg', 'https://images.easyrea.com/images/produits/166505B/166505B_1.jpg', 'https://images.easyrea.com/images/produits/166505B/166505B_2.jpg', 'https://images.easyrea.com/images/produits/166505B/166505B_3.jpg', 'https://images.easyrea.com/images/produits/166505B/166505B.jpg']"
KOVAL 3-DRAWER BEDSIDE TABLE WHITE,166504B  |  3560238653784,"€110.26
HT",In arrival,https://images.easyrea.com/images/produits/166504B/166504B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Gris', 'Assortment number': '0', 'Assortment details': 'BOIS', 'Product dimensions': 'L. 49 x P. 33 x H. 74 cm', 'Packing dimensions': 'Tiroirs : L. 45 x l. 32 x H. 15 cm', 'Product Weight': '21.300 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'SUR_ETAGERE', 'Customs code': '9403500000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560238653784'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 10', 'Packing dimensions': '55.00 x 39.00 x 79.00 cm', 'Packing details dimensions': 'L.55.00 x l.39.00 x H.79.00 cm', 'Packing weight': '24.00 kg', 'Volume': '0.1695 m3'}","Description
Collection: Nam nam","['https://images.easyrea.com/images/produits/166504B/166504B_0.jpg', 'https://images.easyrea.com/images/produits/166504B/166504B_1.jpg', 'https://images.easyrea.com/images/produits/166504B/166504B_2.jpg', 'https://images.easyrea.com/images/produits/166504B/166504B.jpg']"
AJAY 3-DOOR 4-DRAWER SIDEBOARD,166506C  |  3560237587400,"€275.63
HT",In arrival,https://images.easyrea.com/images/produits/166506C/166506C.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'BOIS BLANCHI + MOTIF SCULPTE', 'Product dimensions': 'L. 115 x P. 40 x H. 81,5 cm', 'Product Weight': '50.000 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '4.20 TTC', 'Gencod': '3560237587400'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 2', 'Packing dimensions': '122.00 x 47.00 x 73.00 cm', 'Packing details dimensions': 'L.122.00 x l.47.00 x H.73.00 cm', 'Packing weight': '54.50 kg', 'Volume': '0.4186 m3'}",,"['https://images.easyrea.com/images/produits/166506C/166506C_0.jpg', 'https://images.easyrea.com/images/produits/166506C/166506C_1.jpg', 'https://images.easyrea.com/images/produits/166506C/166506C_2.jpg', 'https://images.easyrea.com/images/produits/166506C/166506C_3.jpg', 'https://images.easyrea.com/images/produits/166506C/166506C_4.jpg', 'https://images.easyrea.com/images/produits/166506C/166506C.jpg']"
AJAY 6-DRAWER CHEST OF DRAWERS,166502  |  3560238653739,"€165.38
HT",In arrival,https://images.easyrea.com/images/produits/166502/166502.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'BOIS', 'Product dimensions': 'L. 50 x P. 30 x H. 122,5 cm', 'Packing dimensions': 'Tiroirs : L. 30 x l. 30 x H. 18 cm Poignet : 2 cm', 'Product Weight': '33.500 Kg', 'Material': 'MANGO', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '3.14 TTC', 'Gencod': '3560238653739'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 4', 'Packing dimensions': '59.00 x 39.00 x 130.00 cm', 'Packing details dimensions': 'L.59.00 x l.39.00 x H.130.00 cm', 'Packing weight': '35.00 kg', 'Volume': '0.2991 m3'}","Description
Collection: Terre sauvage
Empilable : Non
Pliable : Non","['https://images.easyrea.com/images/produits/166502/166502_0.jpg', 'https://images.easyrea.com/images/produits/166502/166502_1.jpg', 'https://images.easyrea.com/images/produits/166502/166502_2.jpg', 'https://images.easyrea.com/images/produits/166502/166502_3.jpg', 'https://images.easyrea.com/images/produits/166502/166502_4.jpg', 'https://images.easyrea.com/images/produits/166502/166502_5.jpg', 'https://images.easyrea.com/images/produits/166502/166502_6.jpg', 'https://images.easyrea.com/images/produits/166502/166502_7.jpg', 'https://images.easyrea.com/images/produits/166502/166502.jpg']"
AJAY 12-DRAWER CHEST OF DRAWERS,179098  |  3560237587134,"€358.32
HT",In arrival,https://images.easyrea.com/images/produits/179098/179098.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'BOIS BLANCHI + MOTIF SCULPTE', 'Product dimensions': 'L. 127 x P. 40 x H. 94,5 cm', 'Product Weight': '62.000 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '7.00 TTC', 'Gencod': '3560237587134'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 5', 'Packing dimensions': '135.00 x 49.00 x 103.00 cm', 'Packing details dimensions': 'L.135.00 x l.49.00 x H.103.00 cm', 'Packing weight': '66.60 kg', 'Volume': '0.6813 m3'}","Description
Collection: Tropiques australes","['https://images.easyrea.com/images/produits/179098/179098_0.jpg', 'https://images.easyrea.com/images/produits/179098/179098_1.jpg', 'https://images.easyrea.com/images/produits/179098/179098_2.jpg', 'https://images.easyrea.com/images/produits/179098/179098_3.jpg', 'https://images.easyrea.com/images/produits/179098/179098_4.jpg', 'https://images.easyrea.com/images/produits/179098/179098.jpg']"
AJAY 2-DOOR 2-DRAWER TV UNIT,179100  |  3560237587141,"€220.50
HT",In stock,https://images.easyrea.com/images/produits/179100/179100.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'BOIS BLANCHI + MOTIF SCULPTE', 'Product dimensions': 'L. 140 x P. 40 x H. 54,5 cm', 'Product Weight': '47.700 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '3.14 TTC', 'Gencod': '3560237587141'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 2', 'Packing dimensions': '149.00 x 49.00 x 54.00 cm', 'Packing details dimensions': 'L.149.00 x l.49.00 x H.54.00 cm', 'Packing weight': '40.00 kg', 'Volume': '0.3943 m3'}","Description
Collection: Tropiques australes","['https://images.easyrea.com/images/produits/179100/179100_0.jpg', 'https://images.easyrea.com/images/produits/179100/179100_1.jpg', 'https://images.easyrea.com/images/produits/179100/179100_2.jpg', 'https://images.easyrea.com/images/produits/179100/179100_3.jpg', 'https://images.easyrea.com/images/produits/179100/179100_4.jpg', 'https://images.easyrea.com/images/produits/179100/179100_5.jpg', 'https://images.easyrea.com/images/produits/179100/179100_6.jpg', 'https://images.easyrea.com/images/produits/179100/179100.jpg']"
AJAY 3-DRAWER BEDSIDE TABLE,166504C  |  3560237587127,"€110.26
HT",In arrival,https://images.easyrea.com/images/produits/166504C/166504C.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '0', 'Assortment details': 'BOIS BLANCHI + MOTIF SCULPTE', 'Product dimensions': 'L. 49 x P. 33 x H. 74 cm', 'Product Weight': '21.300 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'SUR_ETAGERE', 'Customs code': '9403500000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560237587127'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 10', 'Packing dimensions': '55.00 x 39.00 x 79.00 cm', 'Packing details dimensions': 'L.55.00 x l.39.00 x H.79.00 cm', 'Packing weight': '22.70 kg', 'Volume': '0.1695 m3'}","Description
Collection: Tropiques australes
Nombre de tiroirs : 3 x L. 45 x l. 15 x H. 31 cm","['https://images.easyrea.com/images/produits/166504C/166504C_0.jpg', 'https://images.easyrea.com/images/produits/166504C/166504C_1.jpg', 'https://images.easyrea.com/images/produits/166504C/166504C_2.jpg', 'https://images.easyrea.com/images/produits/166504C/166504C_3.jpg', 'https://images.easyrea.com/images/produits/166504C/166504C.jpg']"
AJMAL 3-DOOR SIDEBOARD,140278  |  3560238927991,"€330.76
HT",In stock,https://images.easyrea.com/images/produits/140278/140278.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'NATUREL', 'Product dimensions': 'L. 160 x P. 39,5 x H. 80,5 cm', 'Product Weight': '57.000 Kg', 'Material': 'MANGUIER', 'Packaging': 'HANGTAG/STICKER IMPRIME', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '4.20 TTC', 'Gencod': '3560238927991'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 2', 'Packing dimensions': '168.00 x 49.00 x 88.00 cm', 'Packing details dimensions': 'L.168.00 x l.49.00 x H.88.00 cm', 'Packing weight': '65.00 kg', 'Volume': '0.7244 m3'}","Description
Nombre de tiroirs : N/A
Pliable : N/A
Empilable : N/A
Nombre d'étagères : 1
Nombre niches / cases :","['https://images.easyrea.com/images/produits/140278/140278_0.jpg', 'https://images.easyrea.com/images/produits/140278/140278_1.jpg', 'https://images.easyrea.com/images/produits/140278/140278_2.jpg', 'https://images.easyrea.com/images/produits/140278/140278_3.jpg', 'https://images.easyrea.com/images/produits/140278/140278.jpg']"
AJMAL 2-DOOR SIDEBOARD,157174  |  3560238339497,"€220.50
HT",In stock,https://images.easyrea.com/images/produits/157174/157174.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'NATUREL', 'Product dimensions': 'L. 90 x P. 40 x H. 81 cm', 'Packing dimensions': 'Hauteur étagère haut : 34 cm Hauteur étagère bas : 28 cm', 'Product Weight': '33.240 Kg', 'Material': 'MANGUIER', 'Packaging': 'HANGTAG/STICKER IMPRIME', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '3.14 TTC', 'Gencod': '3560238339497'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 4', 'Packing dimensions': '98.30 x 47.50 x 88.50 cm', 'Packing details dimensions': 'L.98.30 x l.47.50 x H.88.50 cm', 'Packing weight': '37.00 kg', 'Volume': '0.4132 m3'}","Description
Collection: Hacienda
Nombre de tiroirs : /
Pliable : /
Empilable : /
Nombre d'étagères : 1 (haut 34 cm / bas : 28 cm)
Nombre niches / cases : 2","['https://images.easyrea.com/images/produits/157174/157174_0.jpg', 'https://images.easyrea.com/images/produits/157174/157174_1.jpg', 'https://images.easyrea.com/images/produits/157174/157174_2.jpg', 'https://images.easyrea.com/images/produits/157174/157174.jpg']"
AJMAL 2-DRAWER CONSOLE TABLE,140279  |  3560238928004,"€137.82
HT",In stock,https://images.easyrea.com/images/produits/140279/140279.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'NATUREL', 'Product dimensions': 'L. 120 x P. 40 x H. 80 cm', 'Packing dimensions': 'Pied : L. 7 x l. 7 cm', 'Product Weight': '30.900 Kg', 'Material': 'MANGUIER', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '3.14 TTC', 'Gencod': '3560238928004'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 5', 'Packing dimensions': '133.50 x 31.00 x 49.00 cm', 'Packing details dimensions': 'L.133.50 x l.31.00 x H.49.00 cm', 'Packing weight': '32.90 kg', 'Volume': '0.2028 m3'}","Description
Collection: Hacienda
Nombre de couverts : N/A
Extensible : N/A
Pliable : N/A
Nombre de tiroirs : 2","['https://images.easyrea.com/images/produits/140279/140279_0.jpg', 'https://images.easyrea.com/images/produits/140279/140279_1.jpg', 'https://images.easyrea.com/images/produits/140279/140279_2.jpg', 'https://images.easyrea.com/images/produits/140279/140279.jpg']"
